year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,411518101.0,0.0,1.0,12.640000343322754,42.0,1.0,6.0,1.0,5.0,0.0,,,,1.0,,3.0,2.0,河南,0.33333334,0.0486951
2014,621418102.0,1.0,0.0,32.470001220703125,62.0,0.0,9.0,1.0,3.0,0.0,,,,0.0,,2.0,,甘肃,0.5,0.87751627
2014,110157101.0,1.0,0.0,1208.9000244140625,40.0,0.0,15.0,1.0,4.0,0.0,9.0,40.0,11000.0,1.0,150000.0,3.0,3.0,北京,0.5,1.1315126
2014,442007104.0,1.0,0.0,60.641822814941406,48.0,0.0,9.0,1.0,4.0,0.0,,,,0.0,,3.0,,广东,0.25,1.1376976
2014,411669101.0,1.0,0.0,107.63008880615234,61.0,0.0,6.0,1.0,2.0,0.0,,,,0.0,,5.0,,河南,0.25,0.68014115
2014,530059101.0,0.0,1.0,24.882219314575195,52.0,0.0,0.0,1.0,1.0,0.0,,40.0,,1.0,0.0,2.0,4.0,云南,0.25,
2014,140025101.0,0.0,1.0,1.127500057220459,53.0,0.0,9.0,1.0,5.0,0.0,6.0,,,0.0,,3.0,3.0,山西,0.33333334,1.5409646
2014,211339101.0,1.0,,,41.0,1.0,12.0,1.0,2.0,0.0,6.0,80.0,7000.0,1.0,,,2.0,辽宁,0.0,
2014,130708102.0,0.0,1.0,22.235000610351562,39.0,1.0,9.0,1.0,4.0,1.0,15.0,63.0,5000.0,1.0,20000.0,3.0,3.0,河北,0.5,1.2144344
2014,520028101.0,0.0,1.0,15.605999946594238,63.0,1.0,0.0,1.0,3.0,0.0,,70.0,,1.0,0.0,5.0,5.0,贵州,0.5,0.6442901
2014,220178101.0,1.0,0.0,40.380001068115234,42.0,1.0,15.0,1.0,4.0,0.0,9.0,84.0,,1.0,0.0,3.0,4.0,吉林,0.5,0.20662865
2014,370012102.0,1.0,1.0,24.6512508392334,47.0,0.0,9.0,1.0,3.0,0.0,,,,1.0,,4.0,2.0,山东,0.0,0.23814185
2014,140701102.0,1.0,0.0,41.15999984741211,62.0,0.0,9.0,1.0,5.0,0.0,,,,0.0,,3.0,,山西,0.0,0.09924573
2014,621298102.0,0.0,1.0,11.482500076293945,61.0,1.0,0.0,1.0,3.0,0.0,,56.0,,1.0,0.0,3.0,4.0,甘肃,0.25,0.6117216
2014,440850101.0,1.0,1.0,5.434999942779541,36.0,1.0,6.0,1.0,5.0,1.0,3.0,60.0,6000.0,1.0,72000.0,3.0,4.0,广东,2.5,1.4849623
2014,620359101.0,0.0,1.0,8.050000190734863,39.0,0.0,0.0,1.0,1.0,0.0,,35.0,,1.0,0.0,5.0,4.0,甘肃,3.0,0.048025616
2014,311173103.0,1.0,0.0,896.6300048828125,45.0,1.0,15.0,1.0,4.0,0.0,8.0,35.0,,1.0,0.0,3.0,4.0,上海,1.0,0.9997024
2014,311688101.0,0.0,0.0,54.619998931884766,43.0,0.0,9.0,1.0,3.0,0.0,8.0,48.0,3500.0,1.0,40000.0,1.0,4.0,上海,0.33333334,0.88036114
2014,510381101.0,0.0,1.0,8.244999885559082,55.0,0.0,,0.0,4.0,0.0,,49.0,,1.0,0.0,2.0,4.0,四川,1.0,1.023282
2014,410934104.0,0.0,,,27.0,0.0,9.0,1.0,3.0,0.0,,,,0.0,,,,河南,0.5,
2014,510651102.0,1.0,1.0,,49.0,0.0,9.0,1.0,2.0,0.0,3.0,56.0,,1.0,0.0,3.0,3.0,四川,0.33333334,
2014,370009101.0,1.0,1.0,20.65250015258789,60.0,1.0,6.0,1.0,2.0,0.0,,35.0,,1.0,,4.0,3.0,山东,0.0,2.169528
2014,520370101.0,1.0,,,49.0,1.0,9.0,1.0,1.0,0.0,,,,1.0,,,3.0,贵州,0.0,
